"Item.Code","Item","Quantity","Value","Price"
"1341","Apples",1212978,406565218.675862,335.179383860105
"1311","Avocados",239450,86173302.0493076,359.88015055046
"1312","Bananas",6759975.5,2814840756.46108,416.398070741688
"115","Barley",367994.5,77440814.8279922,210.440141980362
"1701","Beans, dry",2883658.25,2260485892.15134,783.895210936087
"1377","Brazil nuts, in shell",33537.5,33992781.5389818,1013.57529747243
"1702","Broad beans and horse beans, dry",11437,14581027.3115522,1274.89965126801
"1229","Cantaloupes and other melons",585651.5,149048524.870045,254.500372440001
"1372","Cashew nuts, in shell",139991.5,98153311.5272973,701.13765140953
"1520.01","Cassava, fresh",19891591.75,2197232188.41019,110.460350082853
"1447","Castor oil seeds",20818,13698671.680435,658.020543781101
"1640","Cocoa beans",259022.666666667,533919733.49078,2061.28575680937
"1460","Coconuts, in shell",2347031.25,243759073.056209,103.85846931361
"1610","Coffee, green",3059111,5762046326.82323,1883.56889528469
"1315","Figs",23100,21564847.9960323,933.543203291443
"1330","Grapes",1538918.5,812882330.49914,528.216621282505
"1252","Green garlic",124884.5,271879086.114404,2177.04427782795
"142","Groundnuts, excluding shelled",571958.5,246181429.350441,430.418342153218
"1922.01","Jute, raw or retted",20,9266.98649577388,463.349324788694
"1322","Lemons and limes",1508297,399811109.357023,265.074524020815
"1441","Linseed",4872,1584796.22771127,325.286582042543
"112","Maize (corn)",83241082,11465205540.9619,137.734941275294
"1316","Mangoes, guavas and mangosteens",1951055,538582211.440398,276.046657547018
"1630","Maté leaves",516104,115532854.17241,223.855761963499
"1950.01","Natural rubber in primary forms",208575,123952858.537874,594.28435113448
"117","Oats",914762.5,101332402.141507,110.774547646528
"1491.01","Oil palm fruit",2416531.5,152701998.458631,63.1905681587973
"1450","Olives",2058,1274029.3485189,619.061879746791
"1253.02","Onions and shallots, dry (excluding dehydrated)",1550423,490039690.762094,316.068383120022
"1323","Oranges",16965955.5,2419431788.88948,142.605100484289
"1319","Other tropical fruits, n.e.c.",1948384.5,911181678.43641,467.660094009375
"1317","Papayas",1118223.5,256362180.8327,229.258445053874
"1345","Peaches and nectarines",201153.5,101213880.775475,503.167385978743
"1342.01","Pears",18255,10246836.7188282,561.316719738602
"1705","Peas, dry",2764,2769207.86124043,1001.88417555732
"1651","Pepper (Piper spp.), raw",105512.5,180554067.146462,1711.21020870951
"1359.01","Persimmons",162328,76332327.0382519,470.23512295015
"1318","Pineapples",2535276,517020362.9586,203.930602805612
"1510","Potatoes",3789943.5,1503174388.60645,396.621846369597
"1342.02","Quinces",525.5,447603.996730941,851.767833931381
"113","Rice",11275110.25,2579571317.10313,228.784575929369
"116","Rye",9308.5,1642300.76878235,176.430227080878
"1921.01","Seed cotton, unginned",4830223.5,3689795498.80691,763.89746743746
"1929.05","Sisal, raw",84871.5,64474156.8840259,759.667931920914
"114","Sorghum",2476780.5,224150021.675715,90.5005597693115
"141","Soya beans",106522258.75,32605255137.2565,306.088657148912
"1802","Sugar cane",754977917.5,14497994601.1119,19.2032035176869
"1445","Sunflower seed",134415,38033515.4104897,282.955885953872
"1530","Sweet potatoes",772313,213089100.45184,275.910285663765
"1324","Tangerines, mandarins, clementines",987569,237282398.029402,240.269184258925
"1620","Tea leaves",2061.5,404764.459824227,196.34463246385
"1234","Tomatoes",4100625.75,2378325145.20743,579.990784383926
"1191","Triticale",33616.5,4290611.17251678,127.634083635024
"1499.02","Tung nuts",292,35558.6165607202,121.776084112055
"1970","Unmanufactured tobacco",767715,1808261782.83612,2355.38159712409
"1376","Walnuts, in shell",6147.5,14023697.3724416,2281.20331393926
"1221","Watermelons",2268071,365220795.876023,161.027055976653
"111","Wheat",5530025.5,1005147858.8145,181.761884970421
