"GID","ETMC"
"G000001",-1.39524527452886
"G000002",-1.02889912715182
"G000003",-0.180496498011053
"G000004",-1.69096046220511
"G000005",-1.71715250285342
"G000006",-1.10609973920509
"G000007",-0.0127899697981775
"G000008",-0.277939996682107
"G000009",-1.3216460943222
"G000010",-1.99862026562914
"G000011",-1.25526246987283
"G000012",-0.131150159984827
"G000013",-0.328134189359844
"G000014",-1.82994599407539
"G000015",-1.47472736053169
"G000016",-0.0151382139883935
"G000017",-0.306933778338134
"G000018",-0.926634978502989
"G000019",-1.14162777923048
"G000020",-0.71980585064739
"G000021",-0.902437685988843
"G000022",-1.15906236786395
"G000023",-0.40039796801284
"G000024",-0.227573506999761
"G000025",-0.0617888723500073
"G000026",-0.00955034606158733
"G000027",-1.60878700809553
