"GID","ETCP"
"G000001",-0.0180183236952871
"G000002",-0.1904850397259
"G000003",-0.401968911057338
"G000004",-0.390893044183031
"G000005",-0.951116590527818
"G000006",-0.188725035870448
"G000007",-0.137432521441951
"G000008",-0.854022570885718
"G000009",-0.258442809805274
"G000010",-0.0133813985157758
"G000011",-0.486878864234313
"G000012",-0.0284328523557633
"G000013",-0.64383905287832
"G000014",-0.562349813291803
"G000015",-0.701085966778919
"G000016",-0.0107949492521584
"G000017",-0.192984740948305
"G000018",-0.319540075492114
"G000019",-0.381962561281398
"G000020",-0.11954705324024
"G000021",-0.120950747979805
"G000022",-0.557209328515455
"G000023",-0.288531596073881
"G000024",-0.195571042364463
"G000025",-0.963569343322888
"G000026",-0.236307943472639
"G000027",-0.730852634180337
