"iter","cost"
0,0
1,786.683958077289
2,596.407321315172
3,306.130898633635
4,158.368430453795
5,154.829794929586
6,120.27042138111
7,119.680605954905
8,62.6028320669648
9,54.0280733392451
10,46.2599761270228
11,21.9837698698895
12,14.0856521179603
13,9.02141186028562
14,4.71812043254538
15,2.6777870148459
16,2.13971346994367
17,1.43829856066104
18,1.18525227693603
19,1.01309323509949
20,0.364013104656665
21,0.288304296561911
22,0.279002714649785
23,0.258598936758486
24,0.120977589923389
25,0.0758692339804402
26,0.0490017116143889
27,0.0436969820017073
28,0.0362302115687108
29,0.0187214425601342
30,0.00907523527821893
31,0.00721048070766772
32,0.00654364715558053
