"FE","ShortName","Name","NameEN","index","GID","QLND.target","QPLD.target","Qosd.target","Qgro.target","Qc_b.target","QLND.sim","QPLD.sim","Qosd.sim","Qgro.sim","Qc_b.sim"
11,"RO","Rondônia","Rondonia",1,"G000001",106.01184911932,7534.52493980523,330.176608852808,279.048734531474,352.165889637018,151.536623639912,7443.10054039494,486.7604345719,321.470509352213,269.574521474495
12,"AC","Acre","Acre",2,"G000002",0,1743.88707709803,7.18286653870191e-07,2.40294364272539e-06,7.10226008831628e-06,0,1740.51122020976,1.5256901511773e-06,1.26825660385362e-06,1.6738916354833e-06
13,"AM","Amazonas","Amazonas",3,"G000003",3.63099160976178,1655.52944856296,1.32949619157409,9.85096387009801,409.688572060759,2.89283388740694,1656.23614839155,1.07102291703982,1.76974104047975,290.195514239938
14,"RR","Roraima","Roraima",4,"G000004",20.5572690765159,716.508134477051,2.51963826376891,3.38030331431849,1.61390941121061,47.6634254919078,665.706192379128,6.64846445697833,5.76487694846275,1.54420569424256
15,"PA","Pará","Para",5,"G000005",232.842318697825,19000.7022790249,243.230234066753,565.27768224911,811.483557540161,440.693791775533,18645.2463276375,749.864142548099,496.682138400414,808.53851172442
16,"AP","Amapá","Amapa",6,"G000006",1.69801797367718,90.1071163582721,5.02863821056517e-07,4.02114662439804,2.52866495917426,11.1294143548357,109.79951101133,1.58378409939488e-06,1.67363308751003,2.69570741936477
17,"TO","Tocantins","Tocantins",7,"G000007",974.165330355119,6457.89949730779,1156.83982114117,267.98044532636,860.516658721282,952.855835011431,6392.59238098118,1678.24437446793,396.779183877311,1158.61951577371
21,"MA","Maranhão","Maranhao",8,"G000008",1100.9947873927,6918.9424959737,1859.68295871939,295.85186650275,2641.90072062594,877.313634105508,7146.32190896213,2092.52084936784,276.853583765275,2125.94687071656
22,"PI","Piauí","Piaui",9,"G000009",1557.50012152284,1074.79003471663,1099.67629687741,415.047143980095,906.689143161507,1426.30703407688,1207.92661744726,1443.15218513116,537.20420889784,787.226676758754
23,"CE","Ceará","Ceara",10,"G000010",1988.39318598938,1653.38186173227,3411.72164389852,1383.91699969361,9766.67183148152,1321.93592436963,2191.97758371893,136.87619634232,779.758516640559,2849.89176211961
24,"RN","Rio Grande do Norte","Rio Grande do Norte",11,"G000011",1423.30296506916,659.190927699519,28.7447309957275,173.604439891618,5946.07751585389,1101.28583261165,865.660659147748,24.2608946859136,60.4660857697386,5280.99678047363
25,"PB","Paraíba","Paraiba",12,"G000012",978.114810829184,1248.90823542167,35.6455736623535,114.718615951391,8912.75036873305,685.205881884557,1453.66889934257,30.2697249079853,78.6412134282275,8133.11086033903
26,"PE","Pernambuco","Pernambuco",13,"G000013",1475.27308734102,2612.66851372601,62.3669710622559,408.782577666445,35598.5933705906,1249.42616937192,2838.21914112,53.8661547655654,189.88715049172,27253.9654111262
27,"AL","Alagoas","Alagoas",14,"G000014",666.425783774697,1434.54837197989,29.695744560791,32.1850242854833,60053.4289827465,567.723294725756,1531.08345186985,27.3924034051887,40.5674440157971,37787.1509167128
28,"SE","Sergipe","Sergipe",15,"G000015",188.317826619682,1492.17048691164,145.86350145936,2061.16059668794,5693.19388651549,212.318750317267,1435.36167518944,118.007695746368,1027.75363938946,3519.34190387252
29,"BA","Bahia","Bahia",16,"G000016",5704.98240990106,16086.9048107933,4291.79148849236,4823.4623420412,10505.044599517,4565.74575874821,17145.0099435301,5354.20316778168,3076.48044876118,7244.01915219605
31,"MG","Minas Gerais","Minas Gerais",17,"G000017",9861.33635935163,20736.8564298248,3608.93981992057,14767.6021684988,83631.7836236849,8285.9937800362,22195.6598894745,4954.45412648711,9077.04112705185,76409.5432782398
32,"ES","Espírito Santo","Espirito Santo",18,"G000018",691.038076548755,2143.65934421593,83.3946390615234,349.470790761069,11366.9094825351,541.289278445054,2289.02608517898,66.7142319570059,122.525353374046,5968.34005853112
33,"RJ","Rio de Janeiro","Rio de Janeiro",19,"G000019",597.148493910023,1830.34938506783,34.2184648977051,69.7371484043504,15470.31213747,459.449487711084,1974.95593185682,29.6002480581421,24.5907702729706,6512.99742824683
35,"SP","São Paulo","Sao Paulo",20,"G000020",11095.7879828696,5336.38842288919,1777.50065440678,6891.81801508556,553196.82322646,10781.3183393181,5549.6288278282,3264.60798669644,6028.28771515125,571756.592516365
41,"PR","Paraná","Parana",21,"G000021",9614.31869820563,2907.74363052368,21026.5205107385,28398.3021690705,75578.5362931744,8928.9385694407,3394.25730855295,23735.7121828926,19445.0080373578,65012.6124481508
42,"SC","Santa Catarina","Santa Catarina",22,"G000022",2606.07583455028,749.867938210273,1532.23277021911,8453.90973120296,1538.40084501775,2253.69281872934,924.33192667576,2101.18697398876,4765.39538267111,838.73465344039
43,"RS","Rio Grande do Sul","Rio Grande do Sul",23,"G000023",8946.34443926071,295.444702618653,11750.5556507381,10150.329532477,3329.04402008347,8726.51405459603,336.162719310202,17462.8212131565,7772.9800973054,1955.30909739352
50,"MS","Mato Grosso do Sul","Mato Grosso do Sul",24,"G000024",4761.30231443923,15475.3591027533,5900.03180115608,5204.81986661965,33400.3445181047,4578.86977083936,15212.8518472441,8717.4695030603,4935.95204043007,41720.7754249978
51,"MT","Mato Grosso","Mato Grosso",25,"G000025",9347.41260813526,21473.4028184624,29075.1336480575,9375.30709170986,17401.3470261813,9125.84881857825,21433.7743605423,32987.1221706569,10833.5239357217,18750.8998432516
52,"GO","Goiás","Goias",26,"G000026",7182.35000063659,14032.04947053,11551.0200428707,9963.88539933131,53146.1197640586,6467.79104929424,14642.125309389,13142.6880598349,8144.76465533674,59577.4978900915
53,"DF","Distrito Federal","Distrito Federal",27,"G000027",175.536753188729,82.17062891699,254.372306230875,559.55071136783,220.032284112691,143.206615206569,113.909922168043,304.143786411419,409.8203731406,85.9441623211765
