"State","c_QLND","c_QPLD","c_QFLD","c_Qosd","c_Qgro","c_Qc_b"
"ACRE",9.05674844496671e-06,-1.0480187905109e-05,1.4402041629848e-06,0.000106943473753336,-4.43002559306331e-05,-5.21975763087865e-05
"ALAGOAS",-0.382939413078041,0.382747942219993,0.000205104518385488,0.900499370619847,-0.990207639912437,-837.683149787312
"AMAP??",0.00953686432194489,-0.0118301110915502,0.00229322987030081,9.5928616677321e-05,-0.0365382544946617,-0.0498917415926141
"AMAZONAS",0.00471076897277948,-0.0047080217510977,-2.54541972494436e-06,-0.000806018950555642,-0.0279792770348937,-4.22682508424197
"BAHIA",2.28155733403045,-1.89754987320683,-0.384005179621604,91.964345332805,-20.5451432468498,-126.670806332561
"CEAR??",1.01159194549136,-1.01159057022487,-1.2619701505771e-06,5.95506352170343,-21.0945995453616,-65.0004314684636
"DISTRITO FEDERAL",0.805556603864177,-0.779956443094345,-0.0256001053850603,12.8954079682282,-6.08159914786044,-1.15760435990988
"ESP??RITO SANTO",-1.95364347548227,1.60141579658347,0.352230521863993,1.31588672665758,-4.18717334120639,-143.273978444742
"GOI??S",45.4441400601313,-44.1027911062354,-1.34135486831228,319.347592736823,172.334238402997,216.479276616393
"MARANH??O",2.11402927689554,-1.94128414233442,-0.17274368385144,90.6434293217043,0.108340566112274,5.26539889367725
"MATO GROSSO",51.7760525977091,-50.3322949220386,-1.44375273859996,1059.12914948186,275.227284791335,-38.1910431795281
"MATO GROSSO DO SUL",31.7497789878637,-31.1940245326042,-0.555761577464969,276.923710675249,80.5348154900899,-120.005589551528
"MINAS GERAIS",3.04980951353005,-3.04813718448937,-0.00166309716839416,121.50617760435,-144.582987167838,-1041.89926726035
"PAR??",4.92488669720437,-4.77878362334316,-0.146102422895212,37.2150031520148,-10.1845008976311,-11.6520494763332
"PARA??BA",0.643493357203251,-0.641255323850752,-0.00223739759336951,0.25826132531907,-1.29824283169392,-146.569072384857
"PARAN??",7.14838308151837,-0.668221187134377,-6.48015917868712,915.923476804452,-164.662016823434,-984.882181947095
"PERNAMBUCO",1.16685357555844,-1.16704281355266,0.000194591721131639,0.840385971798568,-3.57567152054553,-574.841223926337
"PIAU??",0.33527990149789,-0.312750895941995,-0.0225277481021396,67.4775360041206,-9.27519513573681,-17.3572948751633
"RIO DE JANEIRO",1.20245125673258,-1.2044447990943,0.00199239092652455,1.05955648186017,-0.649262714909027,-149.024457128562
"RIO GRANDE DO NORTE",0.703655263463938,-0.703654642881314,1.15751845723092e-08,0.750230893175824,-1.48548105718587,-118.311766078997
"RIO GRANDE DO SUL",8.04975483077453,-3.69117486590047,-4.35857314171636,681.521823903042,9.00750561272676,-11.3314446881411
"ROND??NIA",1.29499318571369,-1.28780794719193,-0.00718469420743064,24.5972898120846,-4.93032071584405,-5.43235071528162
"RORAIMA",0.0693318062318571,-0.0693613827883951,2.96252963976182e-05,0.295674451911609,-0.11738822377256,-0.0288232283205082
"S??O PAULO",1.07947137332557,-0.83213698400114,-0.247335224771942,70.3625437050015,-113.082654335097,-11033.0365169364
"SANTA CATARINA",4.13026687633959,-2.09818221304471,-2.03208215981867,82.3450692336689,-92.6842228769325,-16.8928554626074
"SERGIPE",0.29308341403958,-0.283074542870341,-0.0100082788480977,4.88166785859436,-30.2467925182578,-77.9751914050092
"TOCANTINS",8.11858353346336,-7.96026481916721,-0.158317320706014,62.5386072133675,9.52435647829122,8.36818164259782
"Brazil",175.070678274066,-158.038169689218,-17.0324657091639,3930.64778640355,-83.0014802303027,-15295.3810105083
